SA,TPV,MPV
1281.6,0.71,0.32
1012.6,0.56,0.22
1408.8,0.83,0.36
1403.9,0.85,0.33
841.3,0.36
667.4,0.29
645,0.26,0.25
750,0.30,0.29
1259,0.52,0.49
1476,0.61,0.60
1692,0.71,0.68
2337,1.15,0.85
1409,0.69,0.51
1340,0.66,0.49
5.4,0.00
207,0.16
550,0.37
692,0.43
930,0.54
1728.66,0.70,0.67
2279.52,0.99,0.91
2330.89,1.91,0.98
2112,0.94,0.86
3255,1.65,1.29
3337,2.05,0.54
1634,0.76,0.56
2367,1.15,0.83
2844,1.63,0.89
232,0.11,0.09
332,0.16,0.12
937,0.40,0.38
1214,0.53,0.48
1460,0.63,0.53
1049,0.69,0.43
1248,0.68,0.52
1898,1.52,0.43
1790,1.21,0.48
2424,1.38,0.51
2358,1.85,0.49
1829,1.25,0.49
1684,1.43,0.48
660,0.28,0.24
1076,0.44,0.38
1268,0.55,0.50
1480,0.71,0.48
1161,0.38,0.35
1804,0.85,0.66
1857,0.87,0.48
972,0.49,0.39
1515,0.90,0.62
1815,1.02,0.74
2305,1.12,0.93
909,0.44,0.32
1260,0.81,0.56
3072,1.77,0.78
2730,1.84,1.12
654,0.46,0.36
473,0.20,0.17
593,0.25,0.21
217,0.12,0.13
721,0.35,0.29
1146,0.55,0.47
1446,0.68,0.49
1736,0.87,0.36
955,0.43,0.31
1539,0.72,0.48
2442,1.56,0.86
2225,1.11,0.49
1543,0.71,0.61
2201,1.31,0.69
2170,1.27,0.66
1630,0.69,0.60
2132,1.13,0.70
1862,0.81,0.69
637,0.35,0.25
1122,0.59,0.50
849,0.50,0.31
1019,0.71,0.10
1107,0.79,0.13
1139,1.26,0.24
2091,0.87,0.65
2893,1.59,0.70
1511,0.65,0.54
1830,0.78,0.67
2163,0.93,0.74
2163,0.93,0.74
2.48
46.3
374,0.19,0.11
538,0.24,0.18
1032,0.49,0.35
864,0.41,0.28
1439,0.67,0.49
704,0.29,0.24
1101,0.54,0.38
1305,0.53,0.45
1671,0.67,0.59
585,0.28,0.20
1379,0.58,0.51
1593,0.74,0.54
1048,0.51,0.43
1512,0.74,0.62
2735,1.47,0.94
2396,1.15,0.96
3144,1.56,1.23
2957,1.72,0.75
1150,0.56,0.47
1353,0.67,0.56
1917,0.99,0.75
2345,1.20,0.89
2983,1.50,1.14
3537,1.85,1.21
1163,0.23,0.10
2239,0.88,0.19
1720,0.56,0.15
1322,0.78,0.23
2510,1.05,0.55
2100,0.78,0.29
1175,0.55,0.49
2064,0.98,0.87
252,0.14
358,0.17
1384,0.63
2290,1.19
1714,0.83
1636,0.51
1957,0.79
1294,0.63
714,0.40
774,0.41,0.30
1041,0.53,0.42
1199,0.60,0.48
2695,1.14,1.11
1713,0.73,0.73
1893,0.79,0.78
1871,0.80,0.79
1473,0.60,0.57
1913,0.78,0.74
1698,0.70,0.62
1123,0.47,0.43
1976,0.86,0.77
2356,1.26,0.86
837,0.38,0.32
2571,1.15,1.02
3322,2.31,0.89
966,0.40
1004,0.43
1486,0.64
1682,0.70
1944,0.81
459,0.20
1343,0.56
1637,0.71
2207,1.23
469
489
606
425
514
605
441
512
573
434
524
633
124
224.1
422.8
302.7
328.2
644.9
186
397.3
1076.3
671,0.43
886,0.57
1033,0.69
858,0.57
1142,0.85
1316,1.14
1005,0.49,0.40
910,0.44,0.36
1239,0.61,0.48
1500,0.74,0.53
1830,0.91,0.42
1448,0.71,0.55
1423,0.71,0.53
502,0.22
1991,0.88
1833,0.80
1099,0.45
1821,0.79
2185,0.99
1343,0.55
2318,1.03
2321,1.11
759,0.44,0.33
1606,0.97,0.78
1741,0.86,0.80
1636,0.74,0.68
2251,1.21,1.03
3079,1.84,1.18
2354,1.26,0.97
2556,1.90,0.96
1000,0.68,0.53
1636,0.74,0.68
2354,1.26,0.97
1144,0.64,0.48
1813,1.05,0.70
273,0.19,0.13
481,0.27,0.24
419,0.25,0.19
589,0.34,0.27
802,0.47,0.37
516,0.28,0.20
1687,0.94,0.77
1721,0.92,0.75
1065,0.47,0.39
1188,0.52,0.44
1055,0.46,0.39
706,0.33,0.25
669,0.31
1450,0.61
1310,0.65
1036,0.44
2412,1.14
2596,1.42
1416,0.58
2615,1.38
2446,1.59
852,0.38,0.31
1185,0.52,0.43
694,0.37,0.25
699,0.49,0.16
586,0.31,0.19
2998,1.78,1.22
3277,1.94,1.37
3401,2.50,1.87
3138,2.43,1.33
947,0.35
1082,0.39
1324,0.51
1199,0.47
1354,0.58
1329,0.56
1430,0.65
1023,0.38
1383,0.56
1604,0.65
1178,0.49
1535,0.60
1687,0.67
1550,0.62
1596,0.64
1937,0.78
1012,0.44
879,0.38
1135,0.62
1850,0.87
1562,0.75
1483,0.66
1487,0.79
2322,1.06
2521,1.34
2349,0.99
1967,0.94
2690,1.19
2599,1.33
2251,1.04,0.93
1890,0.87,0.80
1463,0.74,0.58
1827,0.96,0.73
1529,0.98
2209,1.30
3260,2.60
2734,2.30
956,0.48,0.31
1258,0.61,0.40
1697,0.82,0.37
1987,1.02,0.26
990,0.42,0.31
1428,0.65,0.29
1675,0.96,0.06
2086,1.08,0.16
1216,0.53,0.35
1446,0.63,0.37
1952,1.11,0.04
2305,1.23,0.13
660,0.42,0.33
846,0.94,0.40
1176,0.72,0.57
2113,1.24,0.94
1508,0.94,0.68
2148,1.32,0.94
748,0.47,0.27
697,0.46,0.25
581,0.35,0.21
1361.9,0.58,0.46
1005.4,0.41,0.34
1455.1,0.68,0.47
1248.7,0.50,0.41
1272.4,0.55,0.43
821,0.42
1267,0.54
1398,0.60
1412,0.63
1734,0.78
1960,0.90
2167,0.96
2016,0.94
2394,1.13
2659,1.32
2655,1.40
2470,1.30
1210,0.69
1780,1.35
2136,1.43
3247,3.09
933,0.45
1005,0.46
1170,0.53
1754,0.83
1699,0.89
1824,0.92
2572,1.43
2510,1.54
2827,1.55
1210,0.69
1780,1.35
2136,1.43
3247,3.09
1082,0.58,0.44
1793,0.87,0.73
2328,1.11,0.94
2958,1.61,1.16
3020,1.89
3064,1.56
3021,1.58
2473,1.26
1788,0.91,0.49
2957,1.79,0.56
1075,0.75,0.21
2922,1.36,1.22
2779,1.39,1.10
1631,0.83,0.60
32,0.02
851,0.44
927,0.48
1113,0.57
1024,0.53
945,0.49
848,0.38
1164,0.54
1087,0.52
1105,0.49
2053,0.97
1921,1.04
1113,0.48
2264,1.34
1824,1.03
735,0.31
936,0.39
1115,0.46
1003,0.41
787,0.33
1088,0.45
1432,0.59
1569,0.64
932,0.39
1288,0.54
1924,0.79
2155,0.94
18,0.02
982,0.62
582,0.29
1165,1.03
2693,1.68
2731,1.89
2799,1.91
667,0.29,0.28
716,0.32,0.31
718,0.33,0.31
907,0.40,0.39
935,0.42
1441,0.60
1117,0.52
1482,0.64
1408,0.67
1577,0.68
607
1072
1863,1.00
1340,0.68
1420,0.76
447,0.22,0.18
110,0.57,0.37
1352,0.78,0.54
1210,0.48,0.39
1360,0.51,0.40
1600,0.65,0.54
1630,0.66,0.56
2230,1.03,0.89
1950,0.88,0.72
1684,0.94,0.45
992,0.61,0.37
990,0.55,0.45
402,0.22,0.09
1393,0.63,0.49
1759,0.92,0.60
1229,0.89,0.15
2511,1.35,1.16
1426.1,0.83,0.56
1082,0.43
1994,0.87
1994,0.87
1230,0.90
2380,1.64
2700,1.33
514,0.21
1248,0.44
534,0.25
847,0.34
535,0.23
362,0.27
